N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한온시스템,"11,550",300,-2.53%,100,"61,654","533,800",17.60,"696,819",21.08,5.09,
60,LG유플러스,"13,150",0,0.00%,"5,000","57,414","436,611",35.97,"467,865",14.63,6.46,
61,CJ제일제당,"378,500","6,500",+1.75%,"5,000","56,980","15,054",22.45,"59,657",12.91,13.50,
62,강원랜드,"26,500",350,+1.34%,500,"56,694","213,940",18.23,"1,324,233",-172.08,-7.92,
63,에스디바이오센서,"54,600","1,600",+3.02%,500,"56,386","103,271",10.50,"956,083",8.28,139.97,
64,맥쿼리인프라,"13,700",100,+0.74%,0,"55,464","404,846",14.07,"1,443,233",N/A,N/A,
65,미래에셋증권,"8,790",40,+0.46%,"5,000","54,086","615,316",13.67,"1,035,605",6.01,8.94,
66,KODEX 200,"36,605",275,+0.76%,0,"53,828","147,050",10.94,"3,420,184",N/A,N/A,
67,코웨이,"72,100","2,500",+3.59%,500,"53,210","73,800",60.88,"209,565",11.94,31.51,
68,현대제철,"39,700",800,+2.06%,"5,000","52,978","133,446",20.85,"571,953",6.08,-2.59,
69,SKC,"137,500","2,000",+1.48%,"5,000","52,069","37,868",16.65,"165,464",28.01,2.21,
70,삼성중공업,"5,820",70,+1.22%,"1,000","51,216","880,000",14.42,"7,497,943",-2.37,-33.06,
71,메리츠화재,"41,100","1,900",-4.42%,500,"49,577","120,625",12.38,"3,896,714",8.53,16.91,
72,메리츠금융지주,"36,850","2,600",-6.59%,500,"49,383","134,011",8.67,"3,183,198",6.94,16.06,
73,금호석유,"160,500","2,500",+1.58%,"5,000","48,625","30,296",20.10,"101,272",2.87,20.18,
74,현대건설,"43,300",700,+1.64%,"5,000","48,217","111,356",23.25,"610,656",28.79,1.84,
75,삼성엔지니어링,"23,200",350,+1.53%,"5,000","45,472","196,000",36.75,"1,071,083",12.84,17.32,
76,한국금융지주,"79,200",900,+1.15%,"5,000","44,135","55,726",34.87,"130,782",2.71,16.27,
77,DB손해보험,"61,800",700,+1.15%,500,"43,754","70,800",42.88,"289,132",5.49,9.08,
78,한국타이어앤테크놀로지,"35,200",700,+2.03%,500,"43,604","123,875",41.19,"630,560",6.60,5.12,
79,유한양행,"58,100","1,500",+2.65%,"1,000","42,547","73,231",17.42,"221,842",44.05,11.06,
80,일진머티리얼즈,"90,900","1,600",+1.79%,500,"41,915","46,111",13.23,"254,828",65.97,7.23,
81,현대중공업지주,"51,400",400,+0.78%,"1,000","40,602","78,993",16.74,"259,173",-11.91,-8.12,
82,아모레G,"48,800","1,750",+3.72%,500,"40,240","82,458",15.90,"241,797",27.40,0.31,
83,메리츠증권,"5,860",280,-4.56%,"1,000","39,949","681,731",13.08,"6,282,359",5.95,13.08,
84,두산밥캣,"38,150","1,050",+2.83%,500,"38,245","100,249",25.35,"194,459",10.44,6.15,
85,쌍용C&E,"7,580",10,+0.13%,100,"38,193","503,860",3.14,"330,877",18.53,7.92,
86,한국가스공사,"41,050","2,900",+7.60%,"5,000","37,894","92,313",10.08,"1,955,768",8.53,-2.24,
87,삼성증권,"42,300",50,+0.12%,"5,000","37,774","89,300",30.21,"404,280",3.98,9.89,
88,삼성카드,"32,150",150,+0.47%,"5,000","37,249","115,859",7.26,"77,611",7.93,5.69,
89,GS,"40,000",500,-1.23%,"5,000","37,166","92,915",19.29,"251,462",3.63,-2.82,
90,GS건설,"42,850","1,000",+2.39%,"5,000","36,672","85,581",26.00,"561,606",10.44,7.68,
91,이마트,"130,000","1,500",+1.17%,"5,000","36,239","27,876",33.16,"203,449",2.62,4.05,
92,오리온,"91,500","2,900",-3.07%,500,"36,176","39,536",37.10,"223,440",15.21,15.50,
93,한국항공우주,"37,100","2,750",+8.01%,"5,000","36,163","97,475",13.52,"2,359,470",252.38,6.39,
94,한진칼,"52,700",600,-1.13%,"2,500","35,183","66,761",14.78,"76,824",-60.02,-19.55,
95,팬오션,"6,570",240,+3.79%,"1,000","35,121","534,570",12.54,"7,699,456",11.29,3.25,
96,TIGER 차이나전기차SOLACTIVE,"16,325",135,+0.83%,0,"34,694","212,520",0.35,"3,440,615",N/A,N/A,
97,NH투자증권,"11,550",100,-0.86%,"5,000","34,307","297,034",17.86,"749,668",4.24,10.32,
98,한전기술,"89,200","3,800",+4.45%,200,"34,092","38,220",2.15,"2,484,800",335.34,N/A,
99,한미약품,"265,000","10,000",+3.92%,"2,500","32,643","12,318",13.36,"31,106",42.21,1.65,
